star_age,star_mass,log_R,log_Teff,log_L
3.667170101587669373e+09,1.000000000000000000e+00,1.163880713684949456e-02,3.746005344916565338e+00,-3.800789602540061846e-02
3.920250496875968456e+09,1.000000000000000000e+00,1.532148912624436456e-02,3.746350057763733421e+00,-2.926368065794109075e-02
4.164992160427488327e+09,1.000000000000000000e+00,1.898798407406479538e-02,3.746663247771601313e+00,-2.067793073082911312e-02
4.401350950453305244e+09,1.000000000000000000e+00,2.263002142778120993e-02,3.746945621786061054e+00,-1.226435996555379736e-02
4.629411197464200974e+09,1.000000000000000000e+00,2.624525651012440952e-02,3.747196375801240986e+00,-4.030873740148255106e-03
4.849395235798811913e+09,1.000000000000000000e+00,2.982616229914776887e-02,3.747418760367266177e+00,4.020476101999401371e-03
5.061724972008708000e+09,1.000000000000000000e+00,3.337863927796401453e-02,3.747611225898161091e+00,1.189529218320990039e-02
5.266696621747632027e+09,1.000000000000000000e+00,3.690098787731145580e-02,3.747775228322454133e+00,1.959599907907722677e-02
5.464493910057746887e+09,1.000000000000000000e+00,4.039091118827849852e-02,3.747911761380589457e+00,2.712197793355351771e-02
5.655423000934985161e+09,1.000000000000000000e+00,4.384549056076702395e-02,3.748022926351960216e+00,3.447579656401181941e-02
5.839864975244353294e+09,1.000000000000000000e+00,4.726943194853851227e-02,3.748108863410027247e+00,4.166742757182433782e-02
6.018647839216823578e+09,1.000000000000000000e+00,5.067074740102462532e-02,3.748169887977280901e+00,4.871415674580959615e-02
6.192308298045139313e+09,1.000000000000000000e+00,5.405562471220853177e-02,3.748205814072918862e+00,5.562761575073077447e-02
6.360709533432642937e+09,1.000000000000000000e+00,5.741846200058459138e-02,3.748214637335455457e+00,6.238858337762896722e-02
6.523673391840273857e+09,1.000000000000000000e+00,6.074798286917582751e-02,3.748195621152641266e+00,6.897156038355412022e-02
6.681161723773385048e+09,1.000000000000000000e+00,6.403278980362782369e-02,3.748148776826764728e+00,7.535379694895306957e-02
6.833307907057725906e+09,1.000000000000000000e+00,6.726895662668695708e-02,3.748070790206174951e+00,8.151418411271339759e-02
6.980267611736704826e+09,1.000000000000000000e+00,7.044884091550077110e-02,3.747958384931142195e+00,8.742433159020875089e-02
7.121969946495654106e+09,1.000000000000000000e+00,7.356303854771596706e-02,3.747812346843108600e+00,9.306857450250524688e-02
7.258429240466015816e+09,1.000000000000000000e+00,7.659758317598791555e-02,3.747634278021583221e+00,9.842538847294717008e-02
7.389892986315165520e+09,1.000000000000000000e+00,7.957222376794910457e-02,3.747420595380619890e+00,1.035199390930146846e-01
7.516497625699407578e+09,1.000000000000000000e+00,8.248154624805421886e-02,3.747188794291850922e+00,1.084113796981493183e-01
7.638403949769249916e+09,1.000000000000000000e+00,8.536581584568397885e-02,3.746941346573060105e+00,1.131901280182450731e-01
7.755907005650804520e+09,1.000000000000000000e+00,8.823023801213047967e-02,3.746704624381124837e+00,1.179720835833983905e-01
7.869423940469976425e+09,1.000000000000000000e+00,9.112024074821339914e-02,3.746478759376529855e+00,1.228486290371849504e-01
7.979259024984513283e+09,1.000000000000000000e+00,9.404313234519479092e-02,3.746262841533169574e+00,1.278307408577065152e-01
8.085466857917589188e+09,1.000000000000000000e+00,9.697306270993326371e-02,3.746065220565055753e+00,1.329001177147273172e-01
8.188146616751913071e+09,1.000000000000000000e+00,9.990503806533125586e-02,3.745877166853172291e+00,1.380118535779892297e-01
8.287525390667285919e+09,1.000000000000000000e+00,1.028567420723998510e-01,3.745680664389488879e+00,1.431292517373927708e-01
8.383607587154292107e+09,1.000000000000000000e+00,1.057776108019396893e-01,3.745493279826152655e+00,1.482214509431261096e-01
8.476469650100168228e+09,1.000000000000000000e+00,1.087106716495572500e-01,3.745288419102999811e+00,1.532681297457525460e-01
8.566201818243521690e+09,1.000000000000000000e+00,1.115982772820725555e-01,3.745090196538274796e+00,1.582504507518836812e-01
8.652938554039186478e+09,1.000000000000000000e+00,1.144962182980710647e-01,3.744868833963995058e+00,1.631608824867624707e-01
8.736811758774978638e+09,1.000000000000000000e+00,1.173479038165974736e-01,3.744653506902638096e+00,1.680029452783870225e-01
8.817895347943941116e+09,1.000000000000000000e+00,1.201948602151908241e-01,3.744420636046809747e+00,1.727653746522589961e-01
8.882762219279111862e+09,1.000000000000000000e+00,1.225595531911714692e-01,3.744209611736518895e+00,1.766506633630545164e-01
8.934655716347249985e+09,1.000000000000000000e+00,1.244557335908276496e-01,3.744051914735893494e+00,1.798122361598658292e-01
8.976170514001758575e+09,1.000000000000000000e+00,1.260399163644489728e-01,3.743898885650037478e+00,1.823684853636853564e-01
9.009382352125366211e+09,1.000000000000000000e+00,1.273026223159465509e-01,3.743785281697512346e+00,1.844394814565801788e-01
9.035951822624252319e+09,1.000000000000000000e+00,1.283080388713861708e-01,3.743699593074861554e+00,1.861075600768552774e-01
9.058480971475431442e+09,1.000000000000000000e+00,1.292111039943091289e-01,3.743601803851051901e+00,1.875225334274653044e-01
9.078884026929702759e+09,1.000000000000000000e+00,1.300062883642892908e-01,3.743527178812437128e+00,1.888144020129653433e-01
9.098068524136878967e+09,1.000000000000000000e+00,1.307584842136070014e-01,3.743455441979406384e+00,1.900318463794772039e-01
9.116502588738708496e+09,1.000000000000000000e+00,1.314693112562129174e-01,3.743393750005441500e+00,1.912067325688299457e-01
9.134434263441499710e+09,1.000000000000000000e+00,1.322151326894017709e-01,3.743305456439535828e+00,1.923452011715851007e-01
9.151997333610589981e+09,1.000000000000000000e+00,1.329158689983611641e-01,3.743236172332051748e+00,1.934695373595660683e-01
9.169264735145650864e+09,1.000000000000000000e+00,1.336099352289658315e-01,3.743166515980967723e+00,1.945790444164403887e-01
9.186277325666040421e+09,1.000000000000000000e+00,1.342968980528724265e-01,3.743096448561836098e+00,1.956727003877276327e-01
9.203057673959211349e+09,1.000000000000000000e+00,1.349611383164878442e-01,3.743035023886585932e+00,1.967554822139567505e-01
9.219617633035314560e+09,1.000000000000000000e+00,1.356744754424788757e-01,3.742944312728115008e+00,1.978193118320550614e-01
9.235964507244375229e+09,1.000000000000000000e+00,1.363457486930521878e-01,3.742873669961371608e+00,1.988792872662290545e-01
9.252102983734016418e+09,1.000000000000000000e+00,1.370123193620476909e-01,3.742802457915115788e+00,1.999275804191966988e-01
9.268035942481719971e+09,1.000000000000000000e+00,1.376760872316995232e-01,3.742730464775063659e+00,2.009671435982916532e-01
9.283765618031328201e+09,1.000000000000000000e+00,1.383329844648764906e-01,3.742658802658865635e+00,2.019942895998549093e-01
9.299294066169456482e+09,1.000000000000000000e+00,1.389702415733401197e-01,3.742594540942034254e+00,2.030117569494562790e-01
9.314623216819276810e+09,1.000000000000000000e+00,1.396560078647268721e-01,3.742501669978946399e+00,2.040118056798775059e-01
9.329755030335813522e+09,1.000000000000000000e+00,1.402996255604222475e-01,3.742429336765610071e+00,2.050097082179242747e-01
9.344691685454221725e+09,1.000000000000000000e+00,1.409385516344345557e-01,3.742356404633593314e+00,2.059958318378784514e-01
9.359436050239789963e+09,1.000000000000000000e+00,1.415722897069335573e-01,3.742283680826709258e+00,2.069724127553425053e-01
9.373990908991178513e+09,1.000000000000000000e+00,1.421826978557516885e-01,3.742220124283897498e+00,2.079390028817307001e-01
9.388358017383489609e+09,1.000000000000000000e+00,1.428479694338209982e-01,3.742124992763686819e+00,2.088890199570286876e-01
9.402539103040241241e+09,1.000000000000000000e+00,1.434693643686254794e-01,3.742051809025649600e+00,2.098390748744867473e-01
9.416536463657424927e+09,1.000000000000000000e+00,1.440857788584173349e-01,3.741977773605905444e+00,2.107757621750935006e-01
9.430352492527032852e+09,1.000000000000000000e+00,1.446975877922603848e-01,3.741903706637089044e+00,2.117031121675157779e-01
9.443989503811792374e+09,1.000000000000000000e+00,1.452835432660320170e-01,3.741840194237129769e+00,2.126209735152216063e-01
9.457449809158632278e+09,1.000000000000000000e+00,1.459269691140901715e-01,3.741743477017573483e+00,2.135209563331127991e-01
9.465791574158632278e+09,1.000000000000000000e+00,1.463039568343455221e-01,3.741696540764475110e+00,2.140871867612293422e-01
9.474133339158632278e+09,1.000000000000000000e+00,1.466830344331734870e-01,3.741649359307650080e+00,2.146566161315852095e-01
9.482475104158632278e+09,1.000000000000000000e+00,1.470612240099513079e-01,3.741602210904920067e+00,2.152244016742217436e-01
9.490816869158632278e+09,1.000000000000000000e+00,1.474400878512455715e-01,3.741554858482217583e+00,2.157927196659993885e-01
9.499158634158632278e+09,1.000000000000000000e+00,1.477980317439841762e-01,3.741518241407855605e+00,2.163621391540294925e-01
9.507500399158632278e+09,1.000000000000000000e+00,1.482231539244661667e-01,3.741445981941365684e+00,2.169233456490342327e-01
9.515842164158632278e+09,1.000000000000000000e+00,1.486069532327548293e-01,3.741397469242448537e+00,2.174968934699426926e-01
9.524183929158630371e+09,1.000000000000000000e+00,1.489910346238242089e-01,3.741348279063585025e+00,2.180682955366279041e-01
9.532525694158630371e+09,1.000000000000000000e+00,1.493765441492807544e-01,3.741298503802147568e+00,2.186402135417888637e-01
9.540867459158630371e+09,1.000000000000000000e+00,1.497636301039485252e-01,3.741248099775720704e+00,2.192127693454181681e-01
9.549209224158630371e+09,1.000000000000000000e+00,1.501519536947242550e-01,3.741197464078437118e+00,2.197868737378339543e-01
9.557550989158630371e+09,1.000000000000000000e+00,1.505182550410285314e-01,3.741158124298586962e+00,2.203621173110448805e-01
9.565892754158630371e+09,1.000000000000000000e+00,1.509525854066713912e-01,3.741082486218254566e+00,2.209282257209996547e-01
9.574234519158630371e+09,1.000000000000000000e+00,1.513458605585299155e-01,3.741030760549572953e+00,2.215078733499910024e-01
9.582576284158630371e+09,1.000000000000000000e+00,1.517394605615182135e-01,3.740978290561332020e+00,2.220851934030026731e-01
9.590918049158630371e+09,1.000000000000000000e+00,1.521345665941111758e-01,3.740925155901438703e+00,2.226628668286148027e-01
9.599259814158630371e+09,1.000000000000000000e+00,1.525339595569991102e-01,3.740869959617893592e+00,2.232408676202093656e-01
9.607601579158630371e+09,1.000000000000000000e+00,1.529318737752215218e-01,3.740815985139034350e+00,2.238207981412170255e-01
9.615943344158630371e+09,1.000000000000000000e+00,1.533075365610575835e-01,3.740773617391692341e+00,2.244026527235214452e-01
9.624285109158630371e+09,1.000000000000000000e+00,1.537525287017284803e-01,3.740693879565604174e+00,2.249736857005097679e-01
9.632626874158630371e+09,1.000000000000000000e+00,1.541556776009941898e-01,3.740638582134752976e+00,2.255587937756369510e-01
9.640968639158630371e+09,1.000000000000000000e+00,1.545593854922139021e-01,3.740582509912965037e+00,2.261419206709275598e-01
9.649310404158630371e+09,1.000000000000000000e+00,1.549647704651171687e-01,3.740525781791534499e+00,2.267257781310125508e-01
9.657652169158630371e+09,1.000000000000000000e+00,1.553720844522157030e-01,3.740468629152628566e+00,2.273117955495834730e-01
9.665993934158630371e+09,1.000000000000000000e+00,1.557544418079387094e-01,3.740424026777771527e+00,2.278981007616011356e-01
9.674335699158630371e+09,1.000000000000000000e+00,1.562082580218448480e-01,3.740341336022519059e+00,2.284749701684059275e-01
9.682677464158630371e+09,1.000000000000000000e+00,1.566203338095592812e-01,3.740282841509533718e+00,2.290651436918924588e-01
9.691019229158630371e+09,1.000000000000000000e+00,1.570331761112781499e-01,3.740223448645970450e+00,2.296532568410740438e-01
9.699360994158630371e+09,1.000000000000000000e+00,1.574478384257531893e-01,3.740163422603415277e+00,2.302424772998042934e-01
9.707702759158630371e+09,1.000000000000000000e+00,1.578639791325547603e-01,3.740102816242735440e+00,2.308323332706894437e-01
9.716044524158630371e+09,1.000000000000000000e+00,1.582551875479441261e-01,3.740055145566210104e+00,2.314240673953646132e-01
9.724386289158630371e+09,1.000000000000000000e+00,1.587187613909134265e-01,3.739968962940108277e+00,2.320064845769001516e-01
9.732728054158630371e+09,1.000000000000000000e+00,1.591405675865643909e-01,3.739906976288456253e+00,2.326021503615925967e-01
9.741069819158630371e+09,1.000000000000000000e+00,1.595630382890631804e-01,3.739844110169192604e+00,2.331956272895349680e-01
9.749411584158630371e+09,1.000000000000000000e+00,1.599873041720280553e-01,3.739780396435965493e+00,2.337893041225548862e-01
9.757753349158630371e+09,1.000000000000000000e+00,1.604130947619819281e-01,3.739716338701943421e+00,2.343846543663749005e-01
9.766095114158630371e+09,1.000000000000000000e+00,1.608142109452700697e-01,3.739665663172167864e+00,2.349841846138492618e-01
9.774436879158630371e+09,1.000000000000000000e+00,1.612873105679488162e-01,3.739575952438061623e+00,2.355715409227834012e-01
9.782778644158630371e+09,1.000000000000000000e+00,1.617193724227754259e-01,3.739510158671762063e+00,2.361724895672375202e-01
9.791120409158630371e+09,1.000000000000000000e+00,1.621530725390799288e-01,3.739442931389660441e+00,2.367709806714392573e-01
9.799462174158630371e+09,1.000000000000000000e+00,1.625881147762884282e-01,3.739375555848665655e+00,2.373715629818769768e-01
9.807803939158628464e+09,1.000000000000000000e+00,1.629947460712301011e-01,3.739322569538422236e+00,2.379728803307875062e-01
9.816145704158628464e+09,1.000000000000000000e+00,1.634761680350170776e-01,3.739229643882596044e+00,2.385640216350561060e-01
9.824487469158628464e+09,1.000000000000000000e+00,1.639172855696674758e-01,3.739160647613796407e+00,2.391702716291602970e-01
9.832829234158628464e+09,1.000000000000000000e+00,1.643588331414318759e-01,3.739090504033159235e+00,2.397727924501395491e-01
9.841170999158628464e+09,1.000000000000000000e+00,1.648024055139552801e-01,3.739019705152779149e+00,2.403767416736649065e-01
9.849512764158628464e+09,1.000000000000000000e+00,1.652175500526555096e-01,3.738963808425866731e+00,2.409834438434167447e-01
9.857854529158628464e+09,1.000000000000000000e+00,1.657085399508614609e-01,3.738867536248510870e+00,2.415803349304053715e-01
9.866196294158628464e+09,1.000000000000000000e+00,1.661588090531324335e-01,3.738794633447734217e+00,2.421892619318388173e-01
9.874538059158628464e+09,1.000000000000000000e+00,1.666097286075379491e-01,3.738720822586838466e+00,2.427958575970675381e-01
9.882879824158628464e+09,1.000000000000000000e+00,1.670628677250820537e-01,3.738646399814219201e+00,2.434044447416787160e-01
9.891221589158628464e+09,1.000000000000000000e+00,1.674864515070151050e-01,3.738586900237092170e+00,2.440136139970353890e-01
9.899563354158628464e+09,1.000000000000000000e+00,1.679858429365460037e-01,3.738486967457833821e+00,2.446126657390658155e-01
9.907905119158628464e+09,1.000000000000000000e+00,1.684465052946340080e-01,3.738409736355615909e+00,2.452250660463696774e-01
9.916246884158628464e+09,1.000000000000000000e+00,1.689074289040252974e-01,3.738331924807440476e+00,2.458356670724518023e-01
9.924588649158628464e+09,1.000000000000000000e+00,1.693726011832217271e-01,3.738252210596747283e+00,2.464471547880695834e-01
9.932930414158628464e+09,1.000000000000000000e+00,1.698056270110681332e-01,3.738188935913101307e+00,2.470601077091787445e-01
9.941272179158628464e+09,1.000000000000000000e+00,1.703147957258514811e-01,3.738085219848159113e+00,2.476635808789786619e-01
9.949613944158628464e+09,1.000000000000000000e+00,1.707847554895337849e-01,3.738004285008074579e+00,2.482797610460048543e-01
9.957955709158628464e+09,1.000000000000000000e+00,1.712555172841910278e-01,3.737922649884231951e+00,2.488947441399501359e-01
9.966297474158628464e+09,1.000000000000000000e+00,1.716945587444205779e-01,3.737857107496629361e+00,2.495106575099984569e-01
9.974639239158628464e+09,1.000000000000000000e+00,1.722127278542065765e-01,3.737749380167087132e+00,2.501160864113999294e-01
9.982981004158628464e+09,1.000000000000000000e+00,1.726910613079334633e-01,3.737665077097750643e+00,2.507355410415061936e-01
9.991322769158628464e+09,1.000000000000000000e+00,1.731708140249707539e-01,3.737579812609486130e+00,2.513539885225237747e-01
9.999664534158628464e+09,1.000000000000000000e+00,1.736179275220661455e-01,3.737510965017406761e+00,2.519728251483959180e-01
1.000800629915862846e+10,1.000000000000000000e+00,1.741422826416057779e-01,3.737400755380296591e+00,2.525806968390355012e-01
1.001634806415862846e+10,1.000000000000000000e+00,1.746294676820525082e-01,3.737312655618885593e+00,2.532026678742850812e-01
1.002468982915862846e+10,1.000000000000000000e+00,1.751176632757635299e-01,3.737223600207660201e+00,2.538228374168050028e-01
1.003303159415862846e+10,1.000000000000000000e+00,1.755730653672610275e-01,3.737151134217742143e+00,2.544437776401279883e-01
1.004137335915862846e+10,1.000000000000000000e+00,1.761056800104344178e-01,3.737037640446742692e+00,2.550550318424759100e-01
1.004971512415862846e+10,1.000000000000000000e+00,1.766019331954659377e-01,3.736945577238107496e+00,2.556792853780011088e-01
1.005805688915862846e+10,1.000000000000000000e+00,1.770990517131690589e-01,3.736852593992439520e+00,2.563015894307347220e-01
1.006639865415862846e+10,1.000000000000000000e+00,1.775642710890018017e-01,3.736776405334020446e+00,2.569272735487241888e-01
1.007474041915862846e+10,1.000000000000000000e+00,1.781050162968659811e-01,3.736659262317249208e+00,2.575401918973687088e-01
1.008308218415862846e+10,1.000000000000000000e+00,1.786109140437860121e-01,3.736562845998750770e+00,2.581663221172138534e-01
1.009142394915862656e+10,1.000000000000000000e+00,1.790804829386128949e-01,3.736484584987310065e+00,2.587924158611042413e-01
1.009976571415862656e+10,1.000000000000000000e+00,1.796281087750215000e-01,3.736364527886534503e+00,2.594074391308200944e-01
1.010810747915862656e+10,1.000000000000000000e+00,1.801411231777229061e-01,3.736264859631148294e+00,2.600347949146764037e-01
1.011644924415862656e+10,1.000000000000000000e+00,1.806560668893535115e-01,3.736163870791357144e+00,2.606607269787750147e-01
1.012479100915862656e+10,1.000000000000000000e+00,1.811378020186859006e-01,3.736079705268107176e+00,2.612875351444398642e-01
1.013313277415862656e+10,1.000000000000000000e+00,1.816936981738804247e-01,3.735956061929791350e+00,2.619047541015656066e-01
1.014147453915862656e+10,1.000000000000000000e+00,1.822176354642984497e-01,3.735851625184721136e+00,2.625348817021205816e-01
1.014981630415862656e+10,1.000000000000000000e+00,1.827041075254773050e-01,3.735765420369188572e+00,2.631630065623456471e-01
1.015815806915862656e+10,1.000000000000000000e+00,1.832675017814995866e-01,3.735638154134417466e+00,2.637807301353067846e-01
1.016649983415862656e+10,1.000000000000000000e+00,1.837987724271783752e-01,3.735529985405923181e+00,2.644105965126866131e-01
1.017484159915862656e+10,1.000000000000000000e+00,1.842932551480724601e-01,3.735440209967773484e+00,2.650404602018779365e-01
1.018318336415862656e+10,1.000000000000000000e+00,1.848620941133443940e-01,3.735310666696574078e+00,2.656599650476230146e-01
1.019152512915862656e+10,1.000000000000000000e+00,1.854019162147712840e-01,3.735198343934333032e+00,2.662903182015111669e-01
1.019986689415862656e+10,1.000000000000000000e+00,1.859042512539633429e-01,3.735104806158564994e+00,2.669208371768264643e-01
1.020820865915862656e+10,1.000000000000000000e+00,1.864800714978697982e-01,3.734971897744623348e+00,2.675408440088706818e-01
1.021655042415862656e+10,1.000000000000000000e+00,1.870278936067746034e-01,3.734855654094493271e+00,2.681715136261596522e-01
1.022489218915862656e+10,1.000000000000000000e+00,1.875392815317850903e-01,3.734757738789404424e+00,2.688026282558275692e-01
1.023323395415862656e+10,1.000000000000000000e+00,1.881238771017305633e-01,3.734620608911683348e+00,2.694232998848313798e-01
1.024157571915862656e+10,1.000000000000000000e+00,1.886804594022536974e-01,3.734500176982609609e+00,2.700547367695845802e-01
1.024991748415862656e+10,1.000000000000000000e+00,1.892000633289600553e-01,3.734397932640219686e+00,2.706849672534368811e-01
